Proportion_of_deep_time,Proportion_of_awake_time,Total_duration,Sleep_score
-0.8,-0.84,-0.68,-0.8
-1.23,1.7,0.34,-0.8
-0.65,-0.2,-0.3,0.03
-0.65,-0.84,-0.59,-0.8
0.07,-0.2,1.89,0.87
0.36,-0.2,-0.32,0.03
-0.51,2.96,-0.59,-0.8
0.07,-0.2,-0.48,-0.8
-0.22,-0.2,-1.31,-0.8
-1.95,-0.84,-0.84,-0.8
-0.94,0.43,-1.05,-0.8
-1.23,0.43,0.27,0.03
1.22,-1.47,-0.79,-0.8
0.79,0.43,-0.88,-0.8
0.94,-0.2,0.42,1.7
1.22,-0.84,-0.56,-0.8
0.94,-0.84,0.06,1.7
0.94,-0.84,-0.73,-0.8
0.65,-0.84,-0.48,-0.8
-0.4,1.49,-0.37,-0.21
-1,0.36,0.72,0.9
-0.89,1.05,-0.3,-0.69
-1.06,0.53,0.12,-0.05
-1.12,0.9,1.05,-0.37
-1.24,1.05,-1.86,-2.93
-0.82,0.73,0.7,0.58
-1.12,0.4,0.33,-0.37
-0.81,2.07,0.14,-0.05
-0.88,-0.16,-0.14,-0.37
-0.99,-0.48,-0.16,-0.37
-0.41,-0.44,-0.7,-0.05
1.05,-0.74,-0.78,0.11
-0.13,0.6,1.24,0.42
-0.4,0.1,1.74,-1.49
-0.94,1.74,0.5,0.9
1.46,-0.53,1.05,1.06
-0.53,0.66,-0.54,-0.21
0.29,-0.37,0.12,0.26
1.31,-0.74,0.92,1.38
-0.33,0.38,-0.14,-0.69
2.77,-0.74,-0.36,0.58
0.32,-0.03,0.74,-0.05
-0.65,-0.37,0.28,-0.53
0.81,-0.44,-0.52,-1.33
1.14,-0.48,-0.14,0.11
0.66,-0.14,0.14,-0.05
-0.28,-0.59,-0.6,-0.05
-0.47,-0.65,-0.34,-0.21
-0.21,-0.74,-0.39,0.42
-0.14,-0.51,-1.24,-0.37
-0.58,-0.59,0.76,1.86
-1.85,0.38,-0.36,-0.85
0.82,-0.29,-0.71,0.58
0.69,-0.74,-0.52,0.9
1.58,-0.74,0.69,1.86
-0.09,-0.38,-0.76,-0.21
0.74,-0.74,2.71,1.38
0.53,-0.53,0.5,0.26
-0.7,0.3,-0.65,-0.53
-1.44,-0.31,-1.43,-1.65
1.25,-0.74,-0.23,0.58
1.22,-0.74,-0.12,0.42
1.37,-0.38,-0.22,0.42
-0.17,-0.74,-0.63,0.42
1.83,-0.74,0.64,1.22
0.86,-0.38,-0.1,-0.21
-1.47,-0.34,1.29,0.53
1.18,-0.34,1.29,2.63
-0.88,-0.34,0.78,0.13
-0.58,-0.34,1.21,-0.52
0.59,-0.34,2.18,0.79
-0.58,-0.34,-1.05,-1.57
0.3,-0.34,-0.49,0.27
0.3,0.49,-0.54,-0.92
-0.29,1.31,-0.87,-1.31
0.89,-0.34,1.51,1.05
0.3,-0.34,-1.05,-1.05
0.59,-0.34,-0.52,-0.65
0.3,-0.34,-0.76,-0.13
2.66,-0.34,-0.92,-1.05
0.89,-0.34,-0.63,0.13
0.89,-0.34,-0.48,1.05
0.89,5.44,-1.36,-1.7
0.3,-0.34,-0.93,-1.05
0.3,-0.09,-0.54,-0.13
0.3,-0.34,-0.57,0
-1.47,2.22,-0.01,-0.78
-0.58,-0.34,-0.78,0.13
1.18,-0.34,-0.31,1.18
-0.29,-0.34,-1.17,-0.92
-0.58,-0.09,0,0.27
1.77,1.56,1.35,0.66
0.3,-0.01,0.48,1.18
0.01,-0.34,-0.38,-0.92
-0.29,-0.34,0.13,1.18
-0.88,-0.34,-0.43,-1.31
-0.58,-0.34,-0.84,-1.05
-0.29,-0.25,1.84,-1.31
-2.05,-0.34,1.24,-0.65
-2.64,-0.34,0.85,-0.39
1.18,-0.34,-0.06,0.66
0.3,-0.34,-0.06,1.84
1.18,-0.34,-0.21,1.05
-1.47,-0.34,-0.76,-1.31
0.59,-0.34,-0.9,-0.39
0.59,-0.34,-0.05,0.27
-1.47,-0.34,-0.42,-0.26
-0.58,-0.34,-0.14,0.53
0.59,-0.34,-0.96,0.13
0.01,-0.01,0.31,0.79
0.59,-0.34,0.27,1.97
0.59,-0.34,-0.64,0.4
-0.29,2.55,-0.13,-0.39
-1.76,-0.34,1.33,1.58
-0.88,-0.34,-0.57,-1.05
